date,product_name,region,sales_amount,order_count,refund_rate
2025-01-01,数据分析平台,华北,31490,20,0.0185
2025-01-01,数据分析平台,华南,31943,25,0.0067
2025-01-02,AI营销助手,华北,49531,49,0.0801
2025-01-02,AI营销助手,华南,53158,54,0.094
2025-01-03,智能客服系统,华南,38122,33,0.0367
2025-01-03,数据分析平台,华南,28609,17,0.0171
2025-01-03,AI营销助手,华东,50483,46,0.0946
2025-01-03,AI营销助手,华南,46550,45,0.0876
2025-01-04,智能客服系统,华南,36367,24,0.0415
2025-01-04,数据分析平台,华东,34396,22,0.0059
2025-01-04,智能客服系统,华北,35948,31,0.0424
2025-01-05,AI营销助手,华东,50135,47,0.093
2025-01-06,智能客服系统,华东,37822,31,0.0333
2025-01-06,智能客服系统,华南,35396,30,0.0428
2025-01-06,数据分析平台,华南,28198,17,0.0205
2025-01-07,智能客服系统,华南,37593,38,0.0475
2025-01-07,AI营销助手,华东,49973,47,0.0892
2025-01-08,数据分析平台,华东,32467,17,0.013
2025-01-08,数据分析平台,华南,30626,14,0.0152
2025-01-09,AI营销助手,华北,47042,45,0.0936
2025-01-09,数据分析平台,华南,29653,18,0.0222
2025-01-09,数据分析平台,华北,32215,21,0.0156
2025-01-09,智能客服系统,华北,34687,29,0.0384
2025-01-10,数据分析平台,华南,28618,22,0.0225
2025-01-11,智能客服系统,华东,41374,27,0.0474
2025-01-11,数据分析平台,华南,30972,19,0.0158
2025-01-11,AI营销助手,华东,48646,49,0.0906
2025-01-12,智能客服系统,华北,44123,40,0.0476
2025-01-12,智能客服系统,华南,36643,29,0.0362
2025-01-12,数据分析平台,华北,30993,23,0.0239
2025-01-12,AI营销助手,华南,49041,48,0.0953
2025-01-13,AI营销助手,华北,51625,54,0.084
2025-01-13,数据分析平台,华北,26680,14,0.0135
2025-01-14,智能客服系统,华东,39711,37,0.043
2025-01-15,数据分析平台,华东,31084,18,0.0222
2025-01-16,智能客服系统,华东,41445,40,0.0414
2025-01-16,智能客服系统,华南,39856,39,0.0461
2025-01-16,AI营销助手,华南,44760,46,0.0935
2025-01-17,智能客服系统,华东,40348,32,0.032
2025-01-17,数据分析平台,华东,30275,14,0.01
2025-01-18,数据分析平台,华南,28410,20,0.0083
2025-01-18,数据分析平台,华北,32746,22,0.0235
2025-01-18,智能客服系统,华东,39121,34,0.0389
2025-01-18,智能客服系统,华北,45911,36,0.041
2025-01-18,数据分析平台,华东,27574,16,0.0217
2025-01-19,智能客服系统,华南,40388,37,0.0353
2025-01-19,数据分析平台,华东,27893,17,0.0141
2025-01-19,数据分析平台,华南,28823,14,0.0249
2025-01-19,AI营销助手,华北,50592,51,0.0831
2025-01-20,智能客服系统,华东,40020,32,0.0416
2025-01-20,智能客服系统,华南,34338,26,0.0311
2025-01-20,数据分析平台,华南,28971,16,0.0081
2025-01-20,AI营销助手,华东,49677,50,0.0816
2025-01-21,数据分析平台,华东,35658,24,0.0099
2025-01-22,智能客服系统,华东,41030,33,0.0341
2025-01-22,智能客服系统,华北,32324,26,0.0348
2025-01-22,AI营销助手,华东,50120,55,0.0815
2025-01-22,AI营销助手,华南,49615,50,0.0999
2025-01-23,AI营销助手,华东,51582,49,0.0941
2025-01-23,AI营销助手,华南,52805,50,0.0931
2025-01-23,数据分析平台,华东,29895,16,0.0226
2025-01-23,数据分析平台,华北,33428,24,0.0124
2025-01-24,智能客服系统,华北,42347,44,0.036
2025-01-24,数据分析平台,华东,27028,16,0.0077
2025-01-25,智能客服系统,华东,40398,31,0.0341
2025-01-25,数据分析平台,华北,25348,17,0.0219
2025-01-26,智能客服系统,华东,35750,31,0.0427
2025-01-26,智能客服系统,华南,36322,36,0.041
2025-01-26,AI营销助手,华东,48433,47,0.0981
2025-01-26,AI营销助手,华南,51627,49,0.0917
2025-01-27,AI营销助手,华南,50519,52,0.0977
2025-01-27,数据分析平台,华东,30682,24,0.0209
2025-01-27,数据分析平台,华北,25177,17,0.023
2025-01-28,数据分析平台,华东,26289,13,0.0223
2025-01-28,数据分析平台,华北,31565,21,0.0212
2025-01-28,数据分析平台,华南,30751,21,0.0055
2025-01-28,AI营销助手,华东,48639,49,0.0866
2025-01-28,AI营销助手,华北,50586,49,0.096
2025-01-28,AI营销助手,华南,53731,54,0.0962
2025-01-29,AI营销助手,华东,51926,52,0.0846
